,One-seater,Two-seater,Four-seater,Staff,Store_to_seating,Expand,Ordered,LeaveSeating,OneSeaterUtil,OrderQueueTime,LeaveQueue,TakeawayTime,EntitiesIn,EntitiesOut,OneSeaterDeliveryTime,TwoSeaterDeliveryTime,FourSeaterDeliveryTime,StaffUtil
3720,3,13,10,3,1,0,2903,1122,0.919,9.337,0,84.711,2895,2879.1,41.723,41.012,41.305,0.367
61763,89,8,7,4,1,1,3446,553,0.132,3.086,0,84.119,2890.3,2865,40.069,40.754,41.232,0.322
38572,41,23,13,3,1,1,4044,2,0.294,21.729,0,87.241,2915.5,2885.5,40.908,41.016,40.993,0.505
31254,31,50,3,3,1,1,3926,97,0.379,17.56,0,86.012,2903.4,2872.8,41.294,41.373,40.224,0.489
23114,22,21,15,3,0,1,4030,13,0.538,18.949,0,86.932,2911.5,2883.8,41.099,41.338,42.235,0.502
24039,23,21,18,4,1,1,4038,9,0.524,4.176,0,85.442,2918.6,2891.4,41.619,41.17,40.474,0.377
61442,88,7,8,3,1,1,3373,629,0.136,12.797,0,85.759,2889.4,2869.4,41.157,41.065,40.363,0.423
6473,5,46,11,4,1,1,3299,758,0.9,2.648,0,85.112,2911.5,2890.1,40.708,41.455,41.053,0.311
65905,107,1,1,4,0,1,2574,1451,0.11,1.15,0,84.081,2906.3,2889.9,40.665,40.042,41.975,0.25
14188,13,6,10,3,1,0,3093,903,0.777,11.865,0,85.371,2884.3,2865.9,40.411,42.015,41.457,0.39
32341,33,10,16,4,0,1,3638,377,0.358,3.258,0,85.956,2894.4,2869.5,41.149,40.679,41.378,0.341
9181,8,16,2,4,0,0,3268,777,0.867,2.829,0,85.168,2921.1,2901.4,40.407,41.1,42.246,0.311
3210,2,48,6,3,0,1,2984,1037,0.919,9.046,0,86.231,2899.9,2882.7,40.137,40.948,40.521,0.377
12531,11,26,1,4,1,0,3448,577,0.82,3.075,0,85.583,2898.2,2876.4,40.384,41.932,38.905,0.329
3587,3,6,27,4,0,1,2355,1666,0.917,1.617,0,86.307,2897.9,2886.1,40.46,41.098,41.747,0.229
47640,55,35,2,3,1,1,3860,173,0.215,16.355,0,86.518,2901.3,2874.9,41.54,41.147,42.816,0.483
43573,49,0,5,4,1,0,2698,1333,0.241,1.181,0,85.876,2908.6,2891.3,40.767,---,40.353,0.26
3723,3,13,21,4,0,1,2932,1146,0.916,2.08,0,84.453,2936.2,2919.5,40.827,41.769,40.039,0.278
16910,15,52,5,3,1,1,3893,124,0.724,17.884,0,86.583,2895.8,2865.5,41.001,41.283,41.746,0.487
